VBat1,VBat2,VBat3,TEx1,TEx2,TIn1,TIn2,TIn3,5VLine,12VLine,
  56,  55,2728,4095,4095,1466,1449,1297,2115,1409,1025,
  55,  57,2717,4095,4095,1466,1450,1295,2118,1429,1024,
  56,  55,2745,4095,4095,1467,1449,1297,2117,1436,1025,
  56,  55,2732,4095,4095,1467,1449,1297,2118,1432,1024,
  55,  56,2721,4095,4095,1466,1450,1297,2117,1429,1024,
  59,  57,2733,4095,4095,1466,1449,1300,2115,1434,1025,
  57,  56,2714,4095,4095,1468,1450,1298,2119,1424,1025,
  57,  56,2735,4095,4095,1467,1447,1300,2115,1432,1025,
  55,  56,2712,4095,4095,1467,1448,1299,2117,1405,1026,
  54,  55,2733,4095,4095,1469,1448,1299,2115,1433,1024,
  55,  55,2735,4095,4095,1467,1447,1298,2116,1429,1026,
  55,  56,2726,4095,4095,1466,1450,1301,2117,1424,1025,
  57,  56,2734,4095,4095,1467,1448,1298,2116,1412,1024,
  56,  56,2737,4095,4095,1467,1449,1299,2115,1434,1024,
  55,  57,2732,4095,4095,1467,1449,1297,2116,1428,1024,
  57,  56,2702,4095,4095,1468,1448,1298,2119,1412,1024,
  55,  56,2733,4095,4095,1467,1448,1296,2115,1420,1024,
  56,  55,2736,4095,4095,1466,1448,1299,2116,1434,1025,
  56,  56,2686,4095,4095,1466,1449,1297,2118,1425,1025,
  54,  56,2723,4095,4095,1466,1449,1297,2115,1428,1024,
  57,  57,2733,4095,4095,1467,1449,1298,2119,1421,1023,
  55,  56,2736,4095,4095,1468,1450,1297,2115,1426,1024,
  55,  55,2713,4095,4095,1467,1448,1295,2116,1423,1025,
  57,  56,2730,4095,4095,1466,1450,1297,2118,1432,1024,
  57,  55,2734,4095,4095,1467,1447,1296,2117,1434,1025,
  55,  57,2737,4095,4095,1467,1449,1298,2117,1434,1024,
  56,  57,2723,4095,4095,1466,1449,1296,2116,1431,1024,
  55,  56,2734,4095,4095,1467,1449,1299,2116,1433,1024,
  57,  56,2735,4095,4095,1467,1447,1297,2118,1434,1023,
  56,  54,2735,4095,4095,1469,1447,1298,2115,1423,1025,
  56,  55,2730,4095,4095,1466,1448,1300,2115,1432,1024,
  55,  54,2739,4095,4095,1465,1449,1298,2117,1434,1025,
  57,  57,2741,4095,4095,1469,1448,1299,2117,1436,1025,
  57,  56,2727,4095,4095,1467,1448,1297,2117,1410,1025,
  57,  55,2739,4095,4095,1469,1447,1299,2119,1435,1023,
  55,  55,2743,4095,4095,1468,1448,1298,2117,1437,1024,
  56,  57,2725,4095,4095,1467,1449,1296,2118,1431,1024,
  56,  56,2716,4095,4095,1467,1449,1298,2115,1428,1024,
